Sep  5, 2018 15:38:10.554096352 CEST|79:b1:4c:8e:44:ae|79:b1:4c:8e:44:ae|-69|
Sep  5, 2018 15:38:10.950462867 CEST|HuaweiTe_07:88:9f|a8:c8:3a:07:88:9f|-93|eduroam
Sep  5, 2018 15:38:11.535894558 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-86|
Sep  5, 2018 15:38:11.553975248 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-89|
Sep  5, 2018 15:38:11.826645785 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-84|szivutca_2
Sep  5, 2018 15:38:11.836076438 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4||Pc-Gio
Sep  5, 2018 15:38:12.765666942 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|VodafoneCasa
Sep  5, 2018 15:38:12.769222941 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|G3_1743
Sep  5, 2018 15:38:12.779507367 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Pc-Gio
Sep  5, 2018 15:38:12.781415326 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-69|Lola3
Sep  5, 2018 15:38:12.783645696 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|TIM-78652545
Sep  5, 2018 15:38:12.786372568 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|Vodafone-33789655
Sep  5, 2018 15:38:12.788754983 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|PosteWiFi
Sep  5, 2018 15:38:12.791171257 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|TNCAP40E275
Sep  5, 2018 15:38:12.793606186 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-59|Vodafone Casa
Sep  5, 2018 15:38:13.669021374 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-91|
Sep  5, 2018 15:38:13.709479612 CEST|||-95|
Sep  5, 2018 15:38:14.534396813 CEST|Apple_ca:11:0d|ac:e4:b5:ca:11:0d|-91|polimi-protected
Sep  5, 2018 15:38:17.455448126 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-66|WiFi Hotspot 1657
Sep  5, 2018 15:38:17.457894140 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-69|Pinterest Guest
Sep  5, 2018 15:38:17.461926580 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-69|
Sep  5, 2018 15:38:17.474015175 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-69|Pinterest Guest
Sep  5, 2018 15:38:17.475713434 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-68|
Sep  5, 2018 15:38:17.480700934 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-69|WiFi Hotspot 1657
Sep  5, 2018 15:38:17.491323022 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-69|Pinterest Guest
Sep  5, 2018 15:38:17.494686426 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-68|
Sep  5, 2018 15:38:17.494689955 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-70|WiFi Hotspot 1657
Sep  5, 2018 15:38:17.499998465 CEST|Motorola_11:cf:29|84:10:0d:11:cf:29|-69|Pinterest Guest
Sep  5, 2018 15:38:20.274941300 CEST|HonHaiPr_0a:6f:af|a4:17:31:0a:6f:af|-53|
Sep  5, 2018 15:38:20.431855351 CEST|69:27:15:87:66:1b|69:27:15:87:66:1b|-54|
Sep  5, 2018 15:38:20.792387921 CEST|Google_a9:5f:d0|da:a1:19:a9:5f:d0|-73|
Sep  5, 2018 15:38:20.814642181 CEST|Google_a9:5f:d0|da:a1:19:a9:5f:d0|-70|
Sep  5, 2018 15:38:20.940466656 CEST|Google_a9:5f:d0|da:a1:19:a9:5f:d0|-70|
Sep  5, 2018 15:38:21.934053016 CEST|be:3b:27:87:26:95|be:3b:27:87:26:95|-80|
Sep  5, 2018 15:38:22.000410588 CEST|be:3b:27:87:26:95|be:3b:27:87:26:95|-81|
Sep  5, 2018 15:38:22.045264918 CEST|be:3b:27:87:26:95|be:3b:27:87:26:95|-82|
Sep  5, 2018 15:38:22.615367520 CEST|Apple_1b:ea:53|8c:85:90:1b:ea:53|-81|wlan_saltuaria
Sep  5, 2018 15:38:22.727830106 CEST|Apple_1b:ea:53|8c:85:90:1b:ea:53|-81|wlan_saltuaria
Sep  5, 2018 15:38:26.955535374 CEST|3a:cc:35:e7:2d:a6|3a:cc:35:e7:2d:a6|-86|Apple Demo
Sep  5, 2018 15:38:27.020086449 CEST|HuaweiTe_33:54:de|a0:8d:16:33:54:de|-76|
