Sep  5, 2018 15:41:13.106656555 CEST|Google_f1:b2:58|da:a1:19:f1:b2:58|-75|
Sep  5, 2018 15:41:13.194620795 CEST|93:e0:19:f1:b2:58|93:e0:19:f1:b2:58|-52|
Sep  5, 2018 15:41:17.817765994 CEST|Apple_ca:11:0d|ac:e4:b5:ca:11:0d|-94|polimi-protected
Sep  5, 2018 15:41:17.830047010 CEST|Apple_ca:11:0d|ac:e4:b5:ca:11:0d|-92|polimi-protected
Sep  5, 2018 15:41:18.431282251 CEST|fc:61:92:29:5b:db|fc:61:92:29:5b:db|-79|
Sep  5, 2018 15:41:18.433270907 CEST|fc:61:92:29:5b:db|fc:61:92:29:5b:db|-79|
Sep  5, 2018 15:41:18.434550189 CEST|fc:61:92:29:5b:db|fc:61:92:29:5b:db|-79|
Sep  5, 2018 15:41:18.436931272 CEST|fc:61:92:29:5b:db|fc:61:92:29:5b:db|-79|
Sep  5, 2018 15:41:18.439352645 CEST|fc:61:92:29:5b:db|fc:61:92:29:5b:db|-79|
Sep  5, 2018 15:41:18.442936418 CEST|fc:61:92:29:5b:db|fc:61:92:29:5b:db|-79|
Sep  5, 2018 15:41:19.695505126 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-84|polimi-protected
Sep  5, 2018 15:41:22.056498387 CEST|Apple_b8:53:da|6c:72:e7:b8:53:da|-51|NS(F)W
Sep  5, 2018 15:41:24.740964444 CEST|2a:83:78:3e:7a:24|2a:83:78:3e:7a:24|-79|
Sep  5, 2018 15:41:28.253736189 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-89|polimi-protected
Sep  5, 2018 15:41:28.264516372 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-90|polimi-protected
Sep  5, 2018 15:41:30.516964897 CEST|Apple_4a:d9:5c|00:25:00:4a:d9:5c|-88|polimi-protected
Sep  5, 2018 15:41:31.558512937 CEST|HuaweiTe_55:3f:09|38:37:8b:55:3f:09|-71|
Sep  5, 2018 15:41:32.439749848 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-84|polimi
Sep  5, 2018 15:41:32.453770766 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-84|polimi
Sep  5, 2018 15:41:32.584948736 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-84|polimi
Sep  5, 2018 15:41:32.657087547 CEST|LgElectr_86:03:c2|f8:a9:d0:86:03:c2|-86|polimi
Sep  5, 2018 15:41:33.157559053 CEST|1a:77:c9:27:60:4b|1a:77:c9:27:60:4b|-93|
Sep  5, 2018 15:41:33.421897996 CEST|Apple_4a:d9:5c|00:25:00:4a:d9:5c|-88|
Sep  5, 2018 15:41:35.025764226 CEST|Apple_4a:d9:5c|00:25:00:4a:d9:5c|-93|eduroam
Sep  5, 2018 15:41:37.037946453 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-95|
Sep  5, 2018 15:41:37.312496859 CEST|SamsungE_88:67:2c|70:28:8b:88:67:2c|-95|
Sep  5, 2018 15:41:37.312516911 CEST|SamsungE_88:67:2c|70:28:8b:88:67:2c|-77|polimi-protected
Sep  5, 2018 15:41:43.776989098 CEST|AsustekC_1b:f0:b7|30:5a:3a:1b:f0:b7|-74|
Sep  5, 2018 15:41:43.808018904 CEST|AsustekC_1b:f0:b7|30:5a:3a:1b:f0:b7|-72|
