Sep  5, 2018 15:44:12.170563883 CEST|02:f2:ed:8a:13:08|02:f2:ed:8a:13:08|-54|
Sep  5, 2018 15:44:14.984397766 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-89|
Sep  5, 2018 15:44:20.444707927 CEST|HonHaiPr_0a:6f:af|a4:17:31:0a:6f:af|-44|
Sep  5, 2018 15:44:20.761248288 CEST|HonHaiPr_0a:6f:af|a4:17:31:0a:6f:af|-57|
Sep  5, 2018 15:44:27.271324867 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-91|polimi-protected
Sep  5, 2018 15:44:27.280497547 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-90|polimi-protected
Sep  5, 2018 15:44:32.089533879 CEST|SamsungE_75:af:f8|4c:dd:31:75:af:f8|-91|
Sep  5, 2018 15:44:32.131916103 CEST|SamsungE_75:af:f8|4c:dd:31:75:af:f8|-95|
Sep  5, 2018 15:44:32.161531910 CEST|ce:09:b0:97:a4:29|ce:09:b0:97:a4:29|-88|Olla���s iPhone
Sep  5, 2018 15:44:32.170156235 CEST|SamsungE_75:af:f8|4c:dd:31:75:af:f8|-73|
Sep  5, 2018 15:44:38.144811419 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-88|polimi-protected
Sep  5, 2018 15:44:38.147312803 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-90|polimi-protected
Sep  5, 2018 15:44:38.357675984 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-89|polimi-protected
Sep  5, 2018 15:44:39.815027889 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-80|
Sep  5, 2018 15:44:39.823184612 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-81|
Sep  5, 2018 15:44:39.990579709 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-95|NW2
Sep  5, 2018 15:44:42.692650047 CEST|IntelCor_7c:4c:9c|78:92:9c:7c:4c:9c|-84|
