Sep  5, 2018 15:45:11.749850913 CEST|67:64:65:0a:9a:db|67:64:65:0a:9a:db|-54|
Sep  5, 2018 15:45:13.619377901 CEST|Google_9d:f6:e4|da:a1:19:9d:f6:e4|-75|
Sep  5, 2018 15:45:13.668319955 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-90|polimi-protected
Sep  5, 2018 15:45:13.678765159 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-85|polimi-protected
Sep  5, 2018 15:45:13.785854032 CEST|Google_9d:f6:e4|da:a1:19:9d:f6:e4|-76|
Sep  5, 2018 15:45:13.875414854 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-89|polimi-protected
Sep  5, 2018 15:45:13.886850942 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-86|polimi-protected
Sep  5, 2018 15:45:14.416461363 CEST|e2:9e:36:5e:c3:aa|e2:9e:36:5e:c3:aa|-84|
Sep  5, 2018 15:45:15.056861491 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-90|
Sep  5, 2018 15:45:15.071917265 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-92|
Sep  5, 2018 15:45:17.417098842 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-87|
Sep  5, 2018 15:45:17.421870005 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-87|
Sep  5, 2018 15:45:17.909282907 CEST|||-74|
Sep  5, 2018 15:45:19.843978300 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-89|
Sep  5, 2018 15:45:20.492573186 CEST|be:82:22:e3:18:6f|be:82:22:e3:18:6f|-89|
Sep  5, 2018 15:45:22.129800444 CEST|Apple_ca:11:0d|ac:e4:b5:ca:11:0d|-90|polimi-protected
Sep  5, 2018 15:45:22.137806185 CEST|Apple_ca:11:0d|ac:e4:b5:ca:11:0d|-90|polimi-protected
Sep  5, 2018 15:45:23.896973679 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-88|polimi-protected
Sep  5, 2018 15:45:24.342091402 CEST|Apple_70:cd:b9|38:ca:da:70:cd:b9|-82|polimi-protected
Sep  5, 2018 15:45:24.385909960 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-91|
Sep  5, 2018 15:45:24.397543090 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-90|
Sep  5, 2018 15:45:24.476278887 CEST|fe:d6:f9:84:60:40|fe:d6:f9:84:60:40|-93|
Sep  5, 2018 15:45:25.638168810 CEST|IntelCor_7c:4c:9c|78:92:9c:7c:4c:9c|-82|
Sep  5, 2018 15:45:27.933586537 CEST|OneplusT_92:19:40|c0:ee:fb:92:19:40|-94|
Sep  5, 2018 15:45:29.812704937 CEST|d2:0e:cc:53:bc:ad|d2:0e:cc:53:bc:ad|-90|
Sep  5, 2018 15:45:34.574504516 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-84|polimi-protected
Sep  5, 2018 15:45:34.769889516 CEST|Apple_39:97:4e|88:e9:fe:39:97:4e|-84|polimi-protected
Sep  5, 2018 15:45:38.929274157 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-58|wlan_saltuaria
Sep  5, 2018 15:45:38.941789396 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-58|wlan_saltuaria
Sep  5, 2018 15:45:41.489963390 CEST|Apple_c9:0d:55|f4:5c:89:c9:0d:55|-71|wlan_saltuaria
Sep  5, 2018 15:45:41.606025385 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-73|
Sep  5, 2018 15:45:41.621745431 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-72|
Sep  5, 2018 15:45:41.632630382 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-73|
Sep  5, 2018 15:45:41.654328601 CEST|AsustekC_03:ad:0c|d0:17:c2:03:ad:0c|-75|
