Sep  5, 2018 15:46:14.828268508 CEST|d2:0e:cc:53:bc:ad|d2:0e:cc:53:bc:ad|-72|
Sep  5, 2018 15:46:15.124941721 CEST|AsustekC_1b:f0:b7|30:5a:3a:1b:f0:b7||
Sep  5, 2018 15:46:16.501801386 CEST|2a:66:b2:ed:55:2c|2a:66:b2:ed:55:2c|-80|
Sep  5, 2018 15:46:16.529983056 CEST|2a:66:b2:ed:55:2c|2a:66:b2:ed:55:2c|-81|
Sep  5, 2018 15:46:18.123505042 CEST|IntelCor_02:b8:e0|f8:16:54:02:b8:e0|-68|wlan_saltuaria-N
Sep  5, 2018 15:46:18.127002295 CEST|IntelCor_02:b8:e0|f8:16:54:02:b8:e0|-68|
Sep  5, 2018 15:46:20.495833755 CEST|HonHaiPr_0a:6f:af|a4:17:31:0a:6f:af|-49|
Sep  5, 2018 15:46:22.202440558 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-64|
Sep  5, 2018 15:46:22.209218431 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-62|
Sep  5, 2018 15:46:22.219335384 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-63|
Sep  5, 2018 15:46:22.235221577 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-64|
Sep  5, 2018 15:46:22.255750572 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-89|
Sep  5, 2018 15:46:22.263963687 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-63|
Sep  5, 2018 15:46:22.266475352 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-62|
Sep  5, 2018 15:46:24.044352310 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-89|
Sep  5, 2018 15:46:28.643789684 CEST|IntelCor_7c:4c:9c|78:92:9c:7c:4c:9c|-71|
Sep  5, 2018 15:46:29.084796105 CEST|SamsungE_2d:0f:b0|44:78:3e:2d:0f:b0|-68|projectionist
Sep  5, 2018 15:46:29.085924923 CEST|SamsungE_2d:0f:b0|44:78:3e:2d:0f:b0|-66|
Sep  5, 2018 15:46:29.101143973 CEST|SamsungE_2d:0f:b0|44:78:3e:2d:0f:b0|-67|projectionist
Sep  5, 2018 15:46:32.317572663 CEST|4a:2c:8d:cc:4f:3d|4a:2c:8d:cc:4f:3d|-68|
Sep  5, 2018 15:46:36.492788395 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-83|NW2
Sep  5, 2018 15:46:38.227746023 CEST|52:e1:08:65:d1:56|52:e1:08:65:d1:56|-91|
Sep  5, 2018 15:46:44.181629574 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-69|
Sep  5, 2018 15:46:44.193639948 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-66|
Sep  5, 2018 15:46:44.195039489 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-68|
Sep  5, 2018 15:46:44.206742983 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-66|
Sep  5, 2018 15:46:44.216115633 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-63|
Sep  5, 2018 15:46:44.233521930 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-67|
Sep  5, 2018 15:46:44.235999745 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-65|
Sep  5, 2018 15:46:44.245594589 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-67|
Sep  5, 2018 15:46:44.256259570 CEST|AsustekC_27:46:f7|60:45:cb:27:46:f7|-68|
Sep  5, 2018 15:46:44.512151591 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-72|
Sep  5, 2018 15:46:45.234028793 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-70|
Sep  5, 2018 15:46:45.242494662 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-70|
Sep  5, 2018 15:46:45.480118230 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-74|
Sep  5, 2018 15:46:45.501636445 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-72|
Sep  5, 2018 15:46:53.714451169 CEST|LgElectr_91:09:5b|00:34:da:91:09:5b|-71|TIM Wi-Fi SIM
Sep  5, 2018 15:46:53.718000943 CEST|LgElectr_91:09:5b|00:34:da:91:09:5b|-71|
Sep  5, 2018 15:46:54.446947527 CEST|LgElectr_91:09:5b|00:34:da:91:09:5b|-69|TIM Wi-Fi SIM
Sep  5, 2018 15:46:54.449159507 CEST|LgElectr_91:09:5b|00:34:da:91:09:5b|-69|
Sep  5, 2018 15:46:56.102068888 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-81|NW2
Sep  5, 2018 15:46:56.124975168 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-78|NW2
Sep  5, 2018 15:46:56.166320003 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-77|NW2
Sep  5, 2018 15:46:56.460088813 CEST|Google_b0:0f:d5|da:a1:19:b0:0f:d5|-78|
Sep  5, 2018 15:46:56.502349580 CEST|Google_b0:0f:d5|da:a1:19:b0:0f:d5|-79|
