Sep  5, 2018 15:54:15.576462799 CEST|Apple_20:17:d2|f0:18:98:20:17:d2|-58|wlan_saltuaria
Sep  5, 2018 15:54:16.800163869 CEST|e2:9e:48:cf:83:67|e2:9e:48:cf:83:67|-84|
Sep  5, 2018 15:54:16.909380824 CEST|Apple_ec:56:87|40:9c:28:ec:56:87|-61|wlan_saltuaria
Sep  5, 2018 15:54:16.919749487 CEST|Apple_ec:56:87|40:9c:28:ec:56:87|-61|wlan_saltuaria
Sep  5, 2018 15:54:20.716011724 CEST|HonHaiPr_0a:6f:af|a4:17:31:0a:6f:af|-49|
Sep  5, 2018 15:54:21.032207628 CEST|HonHaiPr_0a:6f:af|a4:17:31:0a:6f:af|-67|
Sep  5, 2018 15:54:23.389734541 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-89|
Sep  5, 2018 15:54:25.165828125 CEST|a6:03:c0:92:56:e5|a6:03:c0:92:56:e5|-91|
Sep  5, 2018 15:54:26.923047002 CEST|HonHaiPr_99:82:ed|d8:5d:e2:99:82:ed|-49|
Sep  5, 2018 15:54:26.935837661 CEST|HonHaiPr_99:82:ed|d8:5d:e2:99:82:ed|-49|
Sep  5, 2018 15:54:26.961420539 CEST|HonHaiPr_99:82:ed|d8:5d:e2:99:82:ed|-52|
Sep  5, 2018 15:54:26.962520396 CEST|HonHaiPr_99:82:ed|d8:5d:e2:99:82:ed|-52|
Sep  5, 2018 15:54:34.023146953 CEST|Apple_70:cd:b9|38:ca:da:70:cd:b9|-94|polimi-protected
Sep  5, 2018 15:54:34.047117460 CEST|Apple_70:cd:b9|38:ca:da:70:cd:b9|-93|polimi-protected
Sep  5, 2018 15:54:35.714273639 CEST|AsustekC_1b:f0:b7|30:5a:3a:1b:f0:b7|-71|
Sep  5, 2018 15:54:35.745780235 CEST|AsustekC_1b:f0:b7|30:5a:3a:1b:f0:b7|-71|
Sep  5, 2018 15:54:36.285095902 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|Fasteweb-Casa
Sep  5, 2018 15:54:36.289967727 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|Pc-Gio
Sep  5, 2018 15:54:36.292391401 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-61|Lola3
Sep  5, 2018 15:54:36.297369177 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-54|PosteWiFi
Sep  5, 2018 15:54:36.301153367 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-57|TNCAP40E275
Sep  5, 2018 15:54:36.303707070 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Vodafone Casa
Sep  5, 2018 15:54:36.712597841 CEST|Apple_12:a4:f8|58:40:4e:12:a4:f8|-76|
Sep  5, 2018 15:54:36.736159716 CEST|Apple_12:a4:f8|58:40:4e:12:a4:f8|-78|
Sep  5, 2018 15:54:37.249557913 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-60|G3_1743
Sep  5, 2018 15:54:37.249572758 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|szivutca_2
Sep  5, 2018 15:54:37.277270421 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-58|Fasteweb-Casa
Sep  5, 2018 15:54:37.292775149 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-55|Lola3
Sep  5, 2018 15:54:37.329076259 CEST|Microsof_d3:6c:f4|38:f2:3e:d3:6c:f4|-69|Vodafone-33789655
Sep  5, 2018 15:54:37.904086581 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-89|
Sep  5, 2018 15:54:37.921425695 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-89|
Sep  5, 2018 15:54:38.978116381 CEST|b6:24:9e:3a:c8:09|b6:24:9e:3a:c8:09|-92|
Sep  5, 2018 15:54:39.349900664 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-92|
Sep  5, 2018 15:54:39.369644857 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-91|
Sep  5, 2018 15:54:41.756253458 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-94|
Sep  5, 2018 15:54:41.770354025 CEST|HonHaiPr_e3:83:0b|44:1c:a8:e3:83:0b|-94|
Sep  5, 2018 15:54:43.378206866 CEST|HuaweiTe_07:88:9f|a8:c8:3a:07:88:9f|-78|eduroam
Sep  5, 2018 15:54:43.380572937 CEST|HuaweiTe_07:88:9f|a8:c8:3a:07:88:9f|-79|
Sep  5, 2018 15:54:43.399730050 CEST|HuaweiTe_07:88:9f|a8:c8:3a:07:88:9f|-80|eduroam
Sep  5, 2018 15:54:43.404623968 CEST|HuaweiTe_07:88:9f|a8:c8:3a:07:88:9f|-74|
Sep  5, 2018 15:54:43.439514551 CEST|HuaweiTe_07:88:9f|a8:c8:3a:07:88:9f|-86|
Sep  5, 2018 15:54:44.755176254 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-78|
Sep  5, 2018 15:54:45.067113989 CEST|Azurewav_25:42:b7|74:c6:3b:25:42:b7|-83|
Sep  5, 2018 15:54:45.460438393 CEST|Azurewav_bf:8b:f9|74:c6:3b:bf:8b:f9|-74|
Sep  5, 2018 15:54:48.784424754 CEST|16:85:af:3d:33:59|16:85:af:3d:33:59|-87|
Sep  5, 2018 15:54:48.820991701 CEST|16:85:af:3d:33:59|16:85:af:3d:33:59|-86|
Sep  5, 2018 15:54:49.010629297 CEST|Apple_7c:ef:55|78:4f:43:7c:ef:55|-94|
Sep  5, 2018 15:54:52.287106706 CEST|Raspberr_4e:c9:c5|b8:27:eb:4e:c9:c5|-74|
