Sep  5, 2018 18:05:55.511166316 CEST|ee:2e:2d:04:51:ab|ee:2e:2d:04:51:ab|-82|
Sep  5, 2018 18:05:55.547890491 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-50|
Sep  5, 2018 18:05:55.571976635 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-50|
Sep  5, 2018 18:05:55.614861019 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-54|
Sep  5, 2018 18:05:55.655527706 CEST|SamsungE_a9:d2:74|94:7b:e7:a9:d2:74|-54|
Sep  5, 2018 18:05:55.881516006 CEST|56:ff:35:b1:11:8a|56:ff:35:b1:11:8a|-75|
Sep  5, 2018 18:05:55.903944825 CEST|56:ff:35:b1:11:8a|56:ff:35:b1:11:8a|-79|
Sep  5, 2018 18:05:55.927967073 CEST|56:ff:35:b1:11:8a|56:ff:35:b1:11:8a|-77|
Sep  5, 2018 18:05:55.961703600 CEST|1a:c0:ec:7c:2f:7d|1a:c0:ec:7c:2f:7d|-90|
Sep  5, 2018 18:05:56.082577477 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-58|
Sep  5, 2018 18:05:56.122467091 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-57|
Sep  5, 2018 18:05:56.164843880 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-60|
Sep  5, 2018 18:05:56.205746372 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-59|
Sep  5, 2018 18:05:56.678711408 CEST|Mobiwire_dc:81:79|e4:fb:8f:dc:81:79|-87|DABE
Sep  5, 2018 18:05:56.875744781 CEST|HuaweiTe_84:f7:f2|dc:09:4c:84:f7:f2|-84|salecina
Sep  5, 2018 18:05:56.884249149 CEST|6e:69:95:24:11:c6|6e:69:95:24:11:c6|-89|
Sep  5, 2018 18:05:56.935733066 CEST|6e:69:95:24:11:c6|6e:69:95:24:11:c6|-84|
Sep  5, 2018 18:05:57.259214814 CEST|56:85:e0:2c:30:f5|56:85:e0:2c:30:f5|-85|
Sep  5, 2018 18:05:57.355889949 CEST|Guangdon_67:0c:5b|44:66:fc:67:0c:5b|-90|
Sep  5, 2018 18:05:58.249509070 CEST|Apple_d1:bd:3c|38:0f:4a:d1:bd:3c|-87|
Sep  5, 2018 18:05:58.373862859 CEST|9a:f5:f2:0a:06:04|9a:f5:f2:0a:06:04|-83|
Sep  5, 2018 18:05:58.413741691 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-62|
Sep  5, 2018 18:05:58.457044945 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-65|
Sep  5, 2018 18:05:58.559043368 CEST|Google_5d:fe:4c|da:a1:19:5d:fe:4c|-89|
Sep  5, 2018 18:05:58.583309180 CEST|Google_5d:fe:4c|da:a1:19:5d:fe:4c|-86|
Sep  5, 2018 18:05:58.591481818 CEST|HuaweiTe_ce:62:e6|d4:a1:48:ce:62:e6|-88|
