Sep  5, 2018 18:06:55.879370666 CEST|IntelCor_5f:bb:6c|e4:a7:a0:5f:bb:6c|-87|
Sep  5, 2018 18:06:57.080842799 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-49|
Sep  5, 2018 18:06:57.090596477 CEST|fe:8e:4a:10:c1:92|fe:8e:4a:10:c1:92|-93|
Sep  5, 2018 18:06:57.114257622 CEST|fe:8e:4a:10:c1:92|fe:8e:4a:10:c1:92|-86|
Sep  5, 2018 18:06:57.165064682 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-52|
Sep  5, 2018 18:06:57.206358129 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-51|
Sep  5, 2018 18:06:57.262956003 CEST|52:c0:0b:e8:b2:01|52:c0:0b:e8:b2:01|-85|
Sep  5, 2018 18:06:57.295237032 CEST|SamsungE_ba:e1:de|24:92:0e:ba:e1:de|-61|
Sep  5, 2018 18:06:57.496427890 CEST|e6:d0:37:71:c8:b2|e6:d0:37:71:c8:b2|-82|
Sep  5, 2018 18:06:57.519351715 CEST|e6:d0:37:71:c8:b2|e6:d0:37:71:c8:b2|-82|
Sep  5, 2018 18:06:57.542003178 CEST|e6:d0:37:71:c8:b2|e6:d0:37:71:c8:b2|-81|
Sep  5, 2018 18:06:57.559807038 CEST|e6:d0:37:71:c8:b2|e6:d0:37:71:c8:b2|-84|
Sep  5, 2018 18:06:57.659420653 CEST|be:59:dd:bf:a0:0a|be:59:dd:bf:a0:0a|-50|
Sep  5, 2018 18:06:57.670533143 CEST|be:59:dd:bf:a0:0a|be:59:dd:bf:a0:0a|-43|
Sep  5, 2018 18:06:57.704711929 CEST|be:59:dd:bf:a0:0a|be:59:dd:bf:a0:0a|-51|
Sep  5, 2018 18:06:57.714139927 CEST|be:59:dd:bf:a0:0a|be:59:dd:bf:a0:0a|-50|
Sep  5, 2018 18:06:57.957299773 CEST|9a:4e:bf:9a:10:e3|9a:4e:bf:9a:10:e3|-60|
Sep  5, 2018 18:06:57.981686638 CEST|9a:4e:bf:9a:10:e3|9a:4e:bf:9a:10:e3|-61|
Sep  5, 2018 18:06:58.045425678 CEST|12:3e:cc:df:0a:02|12:3e:cc:df:0a:02|-66|
