Sep  5, 2018 18:09:22.755996179 CEST|ae:06:37:28:7c:5a|ae:06:37:28:7c:5a|-92|
Sep  5, 2018 18:09:22.793811978 CEST|2a:47:07:02:88:5c|2a:47:07:02:88:5c|-88|
Sep  5, 2018 18:09:22.863655951 CEST|4a:ab:a3:66:3b:fe|4a:ab:a3:66:3b:fe|-69|
Sep  5, 2018 18:09:22.876922448 CEST|4a:ab:a3:66:3b:fe|4a:ab:a3:66:3b:fe|-72|
Sep  5, 2018 18:09:22.901261932 CEST|4a:ab:a3:66:3b:fe|4a:ab:a3:66:3b:fe|-74|
Sep  5, 2018 18:09:22.922211686 CEST|4a:ab:a3:66:3b:fe|4a:ab:a3:66:3b:fe|-74|
Sep  5, 2018 18:09:23.164373636 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-79|
Sep  5, 2018 18:09:23.213871490 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-78|
Sep  5, 2018 18:09:23.292147817 CEST|SamsungE_33:7b:ce|30:07:4d:33:7b:ce|-78|
Sep  5, 2018 18:09:24.288192024 CEST|HuaweiTe_c4:f5:1b|24:df:6a:c4:f5:1b|-48|
Sep  5, 2018 18:09:24.332219162 CEST|HuaweiTe_c4:f5:1b|24:df:6a:c4:f5:1b|-48|
Sep  5, 2018 18:09:24.375316381 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-68|
Sep  5, 2018 18:09:24.422378158 CEST|SamsungE_e8:17:f6|98:52:b1:e8:17:f6|-70|
Sep  5, 2018 18:09:46.174171206 CEST|ba:bc:87:f6:7e:67|ba:bc:87:f6:7e:67|-80|
Sep  5, 2018 18:09:46.231443230 CEST|ba:bc:87:f6:7e:67|ba:bc:87:f6:7e:67|-80|
Sep  5, 2018 18:09:46.448140053 CEST|Google_01:85:98|da:a1:19:01:85:98|-81|Telecom-66857315
Sep  5, 2018 18:09:46.450276658 CEST|Google_01:85:98|da:a1:19:01:85:98|-81|
Sep  5, 2018 18:09:46.468844573 CEST|Google_01:85:98|da:a1:19:01:85:98|-77|Telecom-66857315
Sep  5, 2018 18:09:46.470184676 CEST|Google_01:85:98|da:a1:19:01:85:98|-76|
Sep  5, 2018 18:09:46.481504887 CEST|Cisco_81:b4:f9|00:0f:8f:81:b4:f9|-88|DIS_371466_RTI_FYFARATR
Sep  5, 2018 18:09:46.494174646 CEST|Google_01:85:98|da:a1:19:01:85:98|-74|Telecom-66857315
Sep  5, 2018 18:09:46.496349959 CEST|Google_01:85:98|da:a1:19:01:85:98|-77|
Sep  5, 2018 18:09:46.514754548 CEST|Google_01:85:98|da:a1:19:01:85:98|-77|Telecom-66857315
Sep  5, 2018 18:09:46.877326397 CEST|HuaweiTe_c4:f5:1b|24:df:6a:c4:f5:1b|-45|
Sep  5, 2018 18:09:46.900380703 CEST|HuaweiTe_c4:f5:1b|24:df:6a:c4:f5:1b|-44|
Sep  5, 2018 18:09:46.919985493 CEST|HuaweiTe_c4:f5:1b|24:df:6a:c4:f5:1b|-47|
Sep  5, 2018 18:09:46.940586573 CEST|HuaweiTe_c4:f5:1b|24:df:6a:c4:f5:1b|-48|
Sep  5, 2018 18:09:46.967218460 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-47|
Sep  5, 2018 18:09:46.972746420 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-48|MFT_aule
Sep  5, 2018 18:09:46.973848763 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-46|
Sep  5, 2018 18:09:47.119393808 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-87|
Sep  5, 2018 18:09:47.129779731 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-52|MFT_aule
Sep  5, 2018 18:09:47.130679650 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-53|
Sep  5, 2018 18:09:47.138892540 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-48|
Sep  5, 2018 18:09:47.139881420 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-47|MFT_aule
Sep  5, 2018 18:09:47.140954798 CEST|IntelCor_14:39:38|00:24:d7:14:39:38|-46|
Sep  5, 2018 18:09:47.743603786 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-66|
Sep  5, 2018 18:09:47.766733356 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-63|
Sep  5, 2018 18:09:47.787749203 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-68|
Sep  5, 2018 18:09:47.813908025 CEST|HuaweiTe_df:a1:6b|14:a5:1a:df:a1:6b|-67|
Sep  5, 2018 18:09:48.295773214 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-83|ISPMobile
Sep  5, 2018 18:09:48.296856725 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-85|
Sep  5, 2018 18:09:48.321527352 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-84|ISPMobile
Sep  5, 2018 18:09:48.322548955 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-84|
Sep  5, 2018 18:09:48.360009270 CEST|HuaweiTe_93:dc:7c|10:b1:f8:93:dc:7c|-81|
Sep  5, 2018 18:09:48.381930950 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-81|ISPMobile
Sep  5, 2018 18:09:48.383342825 CEST|SamsungE_64:d0:d1|ec:10:7b:64:d0:d1|-80|
Sep  5, 2018 18:09:48.401978776 CEST|HuaweiTe_93:dc:7c|10:b1:f8:93:dc:7c|-83|
