Sep  6, 2018 10:34:39.010946604 CEST,Apple_f1:09:30,24:a0:74:f1:09:30,-90,
Sep  6, 2018 10:34:41.564984304 CEST,SamsungE_6b:ee:e2,24:18:1d:6b:ee:e2,-88,
Sep  6, 2018 10:34:41.571343530 CEST,SamsungE_6b:ee:e2,24:18:1d:6b:ee:e2,-88,iCam-Midland H5_000178
Sep  6, 2018 10:34:41.587507330 CEST,SamsungE_6b:ee:e2,24:18:1d:6b:ee:e2,-89,
Sep  6, 2018 10:34:41.633482240 CEST,SamsungE_6b:ee:e2,24:18:1d:6b:ee:e2,-88,
Sep  6, 2018 10:34:41.878409886 CEST,Google_f1:cd:05,da:a1:19:f1:cd:05,-96,Swisscom_Auto_Login
Sep  6, 2018 10:34:41.882272322 CEST,Google_f1:cd:05,da:a1:19:f1:cd:05,-94,
Sep  6, 2018 10:34:41.904807155 CEST,Google_f1:cd:05,da:a1:19:f1:cd:05,-97,
Sep  6, 2018 10:34:42.434256227 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-87,
Sep  6, 2018 10:34:42.918652213 CEST,IntelCor_02:b8:e0,f8:16:54:02:b8:e0,-64,
Sep  6, 2018 10:34:42.920796325 CEST,IntelCor_02:b8:e0,f8:16:54:02:b8:e0,-66,wlan_saltuaria-N
Sep  6, 2018 10:34:42.922618437 CEST,IntelCor_02:b8:e0,f8:16:54:02:b8:e0,-64,
Sep  6, 2018 10:34:43.220956062 CEST,IntelCor_02:b8:e0,f8:16:54:02:b8:e0,-66,
Sep  6, 2018 10:34:43.225376480 CEST,IntelCor_02:b8:e0,f8:16:54:02:b8:e0,-66,wlan_saltuaria-N
Sep  6, 2018 10:34:46.131362478 CEST,Apple_c8:fc:96,60:f8:1d:c8:fc:96,-93,
Sep  6, 2018 10:34:46.692824482 CEST,3e:46:b7:07:ba:b7,3e:46:b7:07:ba:b7,-83,
Sep  6, 2018 10:34:46.735848973 CEST,3e:46:b7:07:ba:b7,3e:46:b7:07:ba:b7,-85,
Sep  6, 2018 10:34:47.406061040 CEST,Raspberr_19:dc:80,b8:27:eb:19:dc:80,-65,
Sep  6, 2018 10:34:47.446240042 CEST,Raspberr_19:dc:80,b8:27:eb:19:dc:80,-70,
Sep  6, 2018 10:34:47.473596038 CEST,Raspberr_19:dc:80,b8:27:eb:19:dc:80,-70,
Sep  6, 2018 10:34:49.471133962 CEST,9e:b9:fb:4d:06:8f,9e:b9:fb:4d:06:8f,-87,
Sep  6, 2018 10:34:50.000714057 CEST,HuaweiTe_9c:a0:1e,a4:71:74:9c:a0:1e,-84,
Sep  6, 2018 10:34:50.036840232 CEST,HuaweiTe_9c:a0:1e,a4:71:74:9c:a0:1e,-85,
Sep  6, 2018 10:34:50.079024926 CEST,HuaweiTe_9c:a0:1e,a4:71:74:9c:a0:1e,-85,
Sep  6, 2018 10:34:51.056620911 CEST,LiteonTe_3f:e3:7d,30:10:b3:3f:e3:7d,-58,
Sep  6, 2018 10:34:51.067954420 CEST,LiteonTe_3f:e3:7d,30:10:b3:3f:e3:7d,-57,
