Sep  6, 2018 10:46:51.641360698 CEST;ca:aa:74:c9:27:c7;ca:aa:74:c9:27:c7;-81;
Sep  6, 2018 10:46:51.879229239 CEST;b6:c4:8b:a8:1f:83;b6:c4:8b:a8:1f:83;-85;
Sep  6, 2018 10:46:54.248994600 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-80;
Sep  6, 2018 10:46:54.261901398 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-82;
Sep  6, 2018 10:46:54.282062268 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-84;
Sep  6, 2018 10:46:54.289689480 CEST;Apple_c8:fc:96;60:f8:1d:c8:fc:96;-85;
Sep  6, 2018 10:46:56.022325936 CEST;8e:5c:3b:a5:4a:7d;8e:5c:3b:a5:4a:7d;-83;
Sep  6, 2018 10:46:56.042675789 CEST;8e:5c:3b:a5:4a:7d;8e:5c:3b:a5:4a:7d;-85;
Sep  6, 2018 10:46:56.063086724 CEST;8e:5c:3b:a5:4a:7d;8e:5c:3b:a5:4a:7d;-86;
Sep  6, 2018 10:47:00.073359201 CEST;LiteonTe_3f:e3:7d;30:10:b3:3f:e3:7d;-57;
Sep  6, 2018 10:47:00.084951238 CEST;LiteonTe_3f:e3:7d;30:10:b3:3f:e3:7d;-59;
Sep  6, 2018 10:47:00.106601310 CEST;LiteonTe_3f:e3:7d;30:10:b3:3f:e3:7d;-58;
Sep  6, 2018 10:47:00.833304837 CEST;AmazonTe_66:81:b1;fc:a6:67:66:81:b1;-92;polimi
Sep  6, 2018 10:47:00.835306552 CEST;AmazonTe_66:81:b1;fc:a6:67:66:81:b1;-92;
Sep  6, 2018 10:47:01.408093550 CEST;Azurewav_25:42:b7;74:c6:3b:25:42:b7;-76;
Sep  6, 2018 10:47:01.428433588 CEST;Azurewav_25:42:b7;74:c6:3b:25:42:b7;-78;
Sep  6, 2018 10:47:01.667147021 CEST;Azurewav_25:42:b7;74:c6:3b:25:42:b7;-79;
Sep  6, 2018 10:47:01.688826508 CEST;Azurewav_25:42:b7;74:c6:3b:25:42:b7;-78;
Sep  6, 2018 10:47:04.105011451 CEST;5a:86:0c:c4:11:96;5a:86:0c:c4:11:96;-84;
Sep  6, 2018 10:47:04.125914980 CEST;5a:86:0c:c4:11:96;5a:86:0c:c4:11:96;-85;
